No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
226,2988742,55,1.07,91.26,93.88,91.26,1.07,8.60
227,2988982,55,91.00,-60.91,-72.64,-60.91,91.00,69.01
228,2989222,55,9.42,77.12,83.99,77.12,9.42,21.11
229,2989462,55,1.07,91.26,93.88,91.26,1.07,21.11
230,2989702,55,91.89,-62.41,-73.69,-62.41,91.89,69.21
231,2989942,55,9.60,76.82,83.77,76.82,9.60,33.33
232,2990182,55,1.07,91.26,93.88,91.26,1.07,33.24
233,2990422,55,91.00,-60.91,-72.64,-60.91,91.00,94.72
234,2990662,55,9.42,77.12,83.99,77.12,9.42,48.68
235,2990902,55,1.07,91.26,93.88,91.26,1.07,48.78
236,2991142,55,91.18,-61.21,-72.85,-61.21,91.18,9.58
237,2991382,55,9.60,76.82,83.77,76.82,9.60,66.28
238,2991622,55,1.07,91.26,93.88,91.26,1.07,66.18
239,2991862,55,91.53,-61.81,-73.27,-61.81,91.53,35.78
240,2992102,55,9.60,76.82,83.77,76.82,9.60,82.11
241,2992342,55,1.07,91.26,93.88,91.26,1.07,82.11
242,2992582,55,91.53,-61.81,-73.27,-61.81,91.53,44.87
243,2992822,55,9.42,77.12,83.99,77.12,9.42,95.21
244,2993062,55,1.07,91.26,93.88,91.26,1.07,95.70
245,2993302,55,91.18,-61.21,-72.85,-61.21,91.18,53.08
246,2993542,55,9.60,76.82,83.77,76.82,9.60,8.31
247,2993782,55,1.07,91.26,93.88,91.26,1.07,8.21
248,2994022,55,91.53,-61.81,-73.27,-61.81,91.53,65.49
249,2994262,55,9.78,76.52,83.56,76.52,9.78,21.80
250,2994502,55,0.89,91.56,94.09,91.56,0.89,21.41
251,2994742,55,91.35,-61.51,-73.06,-61.51,91.35,71.16
252,2994982,55,9.60,76.82,83.77,76.82,9.60,36.85
253,2995222,55,1.07,91.26,93.88,91.26,1.07,36.56
254,2995462,55,91.53,-61.81,-73.27,-61.81,91.53,96.87
255,2995702,55,9.60,76.82,83.77,76.82,9.60,51.71
256,2995942,55,0.89,91.56,94.09,91.56,0.89,51.71
257,2996182,55,91.89,-62.41,-73.69,-62.41,91.89,11.83
258,2996422,55,9.60,76.82,83.77,76.82,9.60,70.48
259,2996662,55,1.07,91.26,93.88,91.26,1.07,69.70
260,2996902,55,91.00,-60.91,-72.64,-60.91,91.00,29.72
261,2997142,55,9.60,76.82,83.77,76.82,9.60,83.77
262,2997382,55,1.24,90.95,93.67,90.95,1.24,83.77
263,2997622,55,90.64,-60.31,-72.21,-60.31,90.64,44.38
264,2997862,55,9.60,76.82,83.77,76.82,9.60,98.73
265,2998102,55,1.07,91.26,93.88,91.26,1.07,97.26
266,2998342,55,91.71,-62.11,-73.48,-62.11,91.71,56.30
267,2998582,55,9.60,76.82,83.77,76.82,9.60,11.14
268,2998822,55,1.07,91.26,93.88,91.26,1.07,11.05
269,2999062,55,91.00,-60.91,-72.64,-60.91,91.00,63.25
270,2999302,55,9.60,76.82,83.77,76.82,9.60,23.36
271,2999542,55,1.07,91.26,93.88,91.26,1.07,23.17
272,2999782,55,92.42,-63.31,-74.32,-63.31,92.42,85.34
273,3000022,55,9.60,76.82,83.77,76.82,9.60,35.97
274,3000262,55,1.07,91.26,93.88,91.26,1.07,35.97
275,3000502,55,90.82,-60.61,-72.43,-60.61,90.82,97.56
276,3000742,55,9.42,77.12,83.99,77.12,9.42,51.03
277,3000982,55,1.07,91.26,93.88,91.26,1.07,51.03
278,3001222,55,91.35,-61.51,-73.06,-61.51,91.35,26.49
279,3001462,55,9.60,76.82,83.77,76.82,9.60,67.55
280,3001702,55,1.07,91.26,93.88,91.26,1.07,67.74
281,3001942,55,91.89,-62.41,-73.69,-62.41,91.89,27.76
282,3002182,55,9.42,77.12,83.99,77.12,9.42,82.21
283,3002422,55,1.07,91.26,93.88,91.26,1.07,82.11
284,3002662,55,91.35,-61.51,-73.06,-61.51,91.35,45.65
285,3002902,55,9.60,76.82,83.77,76.82,9.60,94.53
286,3003142,55,1.07,91.26,93.88,91.26,1.07,94.53
287,3003382,55,91.53,-61.81,-73.27,-61.81,91.53,52.69
288,3003622,55,9.60,76.82,83.77,76.82,9.60,7.72
289,3003862,55,0.89,91.56,94.09,91.56,0.89,7.82
290,3004102,55,92.24,-63.01,-74.11,-63.01,92.24,70.38
291,3004342,55,9.60,76.82,83.77,76.82,9.60,21.21
292,3004582,55,1.07,91.26,93.88,91.26,1.07,21.31
293,3004822,55,90.64,-60.31,-72.21,-60.31,90.64,82.80
294,3005062,55,9.60,76.82,83.77,76.82,9.60,34.21
295,3005302,55,1.07,91.26,93.88,91.26,1.07,34.41
296,3005542,55,92.06,-62.71,-73.90,-62.71,92.06,88.66
297,3005782,55,9.60,76.82,83.77,76.82,9.60,50.24
298,3006022,55,0.89,91.56,94.09,91.56,0.89,50.05
299,3006262,55,91.53,-61.81,-73.27,-61.81,91.53,25.81
300,3006502,55,9.60,76.82,83.77,76.82,9.60,65.69
301,3006742,55,1.07,91.26,93.88,91.26,1.07,65.49
