No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,485085,55,0.00,48.57,64.00,48.57,0.00,31.87
2,485165,55,0.00,48.57,64.00,48.57,0.00,32.26
3,485245,55,22.75,28.48,49.93,28.48,22.75,59.92
4,485325,55,25.24,26.28,48.40,26.28,25.24,3.52
5,485405,55,23.28,28.01,49.60,28.01,23.28,45.26
6,485485,55,22.04,29.10,50.37,29.10,22.04,79.28
7,485565,55,23.10,28.16,49.71,28.16,23.10,25.51
8,485645,55,23.28,28.01,49.60,28.01,23.28,67.25
9,485725,55,22.04,29.10,50.37,29.10,22.04,5.47
10,485805,55,24.35,27.06,48.95,27.06,24.35,47.70
11,485885,55,21.86,29.26,50.48,29.26,21.86,89.25
12,485965,55,24.17,27.22,49.06,27.22,24.17,28.54
13,486045,55,22.75,28.48,49.93,28.48,22.75,70.67
14,486125,55,23.64,27.69,49.38,27.69,23.64,9.68
15,486205,55,23.46,27.85,49.49,27.85,23.46,52.20
16,486285,55,22.93,28.32,49.82,28.32,22.93,92.96
17,486365,55,24.35,27.06,48.95,27.06,24.35,33.53
18,486445,55,23.10,28.16,49.71,28.16,23.10,75.56
19,486525,55,23.99,27.38,49.17,27.38,23.99,15.44
20,486605,55,23.10,28.16,49.71,28.16,23.10,57.58
21,486685,55,23.46,27.85,49.49,27.85,23.46,61.58
22,486765,55,23.99,27.38,49.17,27.38,23.99,39.88
23,486845,55,23.46,27.85,49.49,27.85,23.46,81.43
24,486925,55,23.64,27.69,49.38,27.69,23.64,21.21
25,487005,55,23.28,28.01,49.60,28.01,23.28,63.64
26,487085,55,23.46,27.85,49.49,27.85,23.46,2.74
27,487165,55,23.82,27.54,49.27,27.54,23.82,46.92
28,487245,55,23.46,27.85,49.49,27.85,23.46,87.00
29,487325,55,23.28,28.01,49.60,28.01,23.28,26.88
30,487405,55,23.82,27.54,49.27,27.54,23.82,61.09
31,487485,55,22.93,28.32,49.82,28.32,22.93,8.41
32,487565,55,24.17,27.22,49.06,27.22,24.17,50.73
33,487645,55,23.46,27.85,49.49,27.85,23.46,92.08
34,487725,55,23.28,28.01,49.60,28.01,23.28,32.16
35,487805,55,23.99,27.38,49.17,27.38,23.99,74.68
36,487885,55,23.28,28.01,49.60,28.01,23.28,14.27
37,487965,55,23.99,27.38,49.17,27.38,23.99,56.70
38,488045,55,23.46,27.85,49.49,27.85,23.46,97.07
39,488125,55,23.99,27.38,49.17,27.38,23.99,38.81
40,488205,55,24.17,27.22,49.06,27.22,24.17,80.74
41,488285,55,23.28,28.01,49.60,28.01,23.28,20.43
42,488365,55,23.82,27.54,49.27,27.54,23.82,61.58
43,488445,55,22.93,28.32,49.82,28.32,22.93,2.74
44,488525,55,24.70,26.75,48.73,26.75,24.70,45.26
45,488605,55,23.28,28.01,49.60,28.01,23.28,86.51
46,488685,55,23.64,27.69,49.38,27.69,23.64,26.59
47,488765,55,24.35,27.06,48.95,27.06,24.35,62.95
48,488845,55,22.93,28.32,49.82,28.32,22.93,8.70
49,488925,55,25.06,26.44,48.51,26.44,25.06,51.03
50,489005,55,23.10,28.16,49.71,28.16,23.10,92.57
51,489085,55,24.17,27.22,49.06,27.22,24.17,33.24
52,489165,55,24.17,27.22,49.06,27.22,24.17,64.03
53,489245,55,23.10,28.16,49.71,28.16,23.10,15.05
54,489325,55,24.70,26.75,48.73,26.75,24.70,57.77
55,489405,55,22.93,28.32,49.82,28.32,22.93,0.00
56,489485,55,24.70,26.75,48.73,26.75,24.70,40.27
57,489565,55,23.82,27.54,49.27,27.54,23.82,82.80
58,489645,55,23.28,28.01,49.60,28.01,23.28,22.29
59,489725,55,24.35,27.06,48.95,27.06,24.35,65.49
60,489805,55,23.10,28.16,49.71,28.16,23.10,4.89
61,489885,55,24.70,26.75,48.73,26.75,24.70,48.00
