No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
143,3077766,55,93.66,11.88,38.32,11.88,93.66,94.92
144,3078006,55,68.78,-0.11,-30.07,-0.11,68.78,60.80
145,3078246,55,9.95,100.00,100.00,100.00,9.95,74.88
146,3078486,55,1.07,100.00,100.00,100.00,1.07,75.17
147,3078726,55,97.93,100.00,100.00,100.00,97.93,53.08
148,3078966,55,99.53,2.69,31.88,2.69,99.53,77.52
149,3079206,55,73.40,-18.48,-42.94,-18.48,73.40,87.39
150,3079446,55,11.20,100.00,100.00,100.00,11.20,0.00
151,3079686,55,1.42,100.00,100.00,100.00,1.42,0.88
152,3079926,55,98.46,80.97,86.68,80.97,98.46,69.70
153,3080166,55,83.71,29.04,50.33,29.04,83.71,82.11
154,3080406,55,57.05,43.94,60.76,43.94,57.05,29.52
155,3080646,55,47.28,67.90,77.53,67.90,47.28,18.96
156,3080886,55,70.74,16.51,41.55,16.51,70.74,52.69
157,3081126,55,43.72,60.76,72.53,60.76,43.72,68.82
158,3081366,55,64.52,24.87,47.41,24.87,64.52,89.35
159,3081606,55,37.86,81.67,87.17,81.67,37.86,73.12
160,3081846,55,82.64,-11.22,-37.86,-11.22,82.64,44.67
161,3082086,55,8.71,100.00,100.00,100.00,8.71,93.74
162,3082326,55,1.07,100.00,100.00,100.00,1.07,93.74
163,3082566,55,99.00,99.60,99.72,99.60,99.00,64.71
164,3082806,55,99.17,3.07,32.15,3.07,99.17,15.15
165,3083046,55,73.40,-18.36,-42.85,-18.36,73.40,4.50
166,3083286,55,11.20,100.00,100.00,100.00,11.20,15.93
167,3083526,55,1.24,100.00,100.00,100.00,1.24,16.52
168,3083766,55,98.46,81.48,87.04,81.48,98.46,95.31
169,3084006,55,84.24,28.00,49.60,28.00,84.24,79.67
170,3084246,55,57.23,42.77,59.94,42.77,57.23,45.85
171,3084486,55,46.21,69.97,78.98,69.97,46.21,30.69
172,3084726,55,72.69,12.11,38.47,12.11,72.69,62.85
173,3084966,55,46.03,51.06,65.74,51.06,46.03,90.91
174,3085206,55,54.56,45.81,62.07,45.81,54.56,91.01
175,3085446,55,49.59,61.24,72.87,61.24,49.59,80.45
176,3085686,55,64.52,29.62,50.73,29.62,64.52,17.20
177,3085926,55,38.57,84.34,89.04,84.34,38.57,0.00
178,3086166,55,85.84,-17.34,-42.14,-17.34,85.84,62.76
179,3086406,55,9.06,100.00,100.00,100.00,9.06,21.80
180,3086646,55,1.07,100.00,100.00,100.00,1.07,21.80
181,3086886,55,98.82,95.55,96.89,95.55,98.82,0.10
182,3087126,55,95.44,9.75,36.83,9.75,95.44,36.75
183,3087366,55,70.91,-7.15,-35.00,-7.15,70.91,14.27
184,3087606,55,10.13,100.00,100.00,100.00,10.13,16.81
185,3087846,55,1.07,100.00,100.00,100.00,1.07,16.62
186,3088086,55,98.46,93.60,95.52,93.60,98.46,78.10
187,3088326,55,94.37,10.64,37.45,10.64,94.37,18.77
188,3088566,55,70.38,-5.48,-33.84,-5.48,70.38,0.88
189,3088806,55,10.13,100.00,100.00,100.00,10.13,4.11
190,3089046,55,0.89,100.00,100.00,100.00,0.89,5.18
191,3089286,55,98.46,95.26,96.68,95.26,98.46,71.07
192,3089526,55,95.44,9.20,36.44,9.20,95.44,13.49
193,3089766,55,70.74,-7.18,-35.03,-7.18,70.74,2.74
194,3090006,55,10.66,100.00,100.00,100.00,10.66,4.79
195,3090246,55,1.07,100.00,100.00,100.00,1.07,5.67
196,3090486,55,98.28,92.78,94.95,92.78,98.28,71.07
197,3090726,55,93.31,12.80,38.96,12.80,93.31,24.24
198,3090966,55,69.67,-2.03,-31.42,-2.03,69.67,68.33
199,3091206,55,9.95,100.00,100.00,100.00,9.95,86.80
200,3091446,55,1.07,100.00,100.00,100.00,1.07,87.00
201,3091686,55,98.11,99.23,99.46,99.23,98.11,59.43
202,3091926,55,98.82,3.09,32.16,3.09,98.82,0.20
203,3092166,55,74.29,-21.18,-44.83,-21.18,74.29,73.61
204,3092406,55,11.55,100.00,100.00,100.00,11.55,12.71
205,3092646,55,1.24,100.00,100.00,100.00,1.24,13.39
206,3092886,55,98.46,78.53,84.97,78.53,98.46,91.89
207,3093126,55,81.93,31.77,52.24,31.77,81.93,95.21
208,3093366,55,56.34,47.45,63.21,47.45,56.34,37.73
209,3093606,55,50.83,60.55,72.39,60.55,50.83,33.24
210,3093846,55,64.16,30.87,51.61,30.87,64.16,49.36
211,3094086,55,38.39,85.85,90.10,85.85,38.39,51.42
212,3094326,55,86.73,-18.54,-42.98,-18.54,86.73,27.47
213,3094566,55,9.06,100.00,100.00,100.00,9.06,81.13
214,3094806,55,0.89,100.00,100.00,100.00,0.89,81.23
215,3095046,55,98.46,96.41,97.49,96.41,98.46,56.30
216,3095286,55,97.40,4.67,33.27,4.67,97.40,77.61
217,3095526,55,72.51,-15.46,-40.82,-15.46,72.51,64.91
218,3095766,55,11.02,100.00,100.00,100.00,11.02,89.93
219,3096006,55,1.24,100.00,100.00,100.00,1.24,90.32
220,3096246,55,98.28,84.63,89.24,84.63,98.28,62.56
221,3096486,55,86.91,23.26,46.28,23.26,86.91,79.67
222,3096726,55,62.38,24.98,47.49,24.98,62.38,36.07
223,3096966,55,34.12,91.08,93.76,91.08,34.12,17.40
224,3097206,55,91.71,-30.89,-51.62,-30.89,91.71,3.91
225,3097446,55,9.78,100.00,100.00,100.00,9.78,63.15
226,3097686,55,1.07,100.00,100.00,100.00,1.07,61.88
227,3097926,55,98.46,85.74,90.02,85.74,98.46,39.30
228,3098166,55,86.55,25.54,47.88,25.54,86.55,48.97
229,3098406,55,60.25,33.20,53.24,33.20,60.25,17.30
230,3098646,55,36.97,89.48,92.64,89.48,36.97,84.65
231,3098886,55,89.75,-24.74,-47.32,-24.74,89.75,70.97
232,3099126,55,9.42,100.00,100.00,100.00,9.42,19.84
233,3099366,55,1.07,100.00,100.00,100.00,1.07,19.55
234,3099606,55,98.46,91.25,93.88,91.25,98.46,97.07
235,3099846,55,92.60,13.47,39.43,13.47,92.60,31.18
236,3100086,55,67.36,4.84,33.39,4.84,67.36,87.29
237,3100326,55,37.68,64.22,74.95,64.22,37.68,60.02
238,3100566,55,68.07,13.60,39.52,13.60,68.07,18.48
239,3100806,55,40.52,65.22,75.66,65.22,40.52,7.43
240,3101046,55,68.78,14.60,40.22,14.60,68.78,37.93
241,3101286,55,41.94,62.60,73.82,62.60,41.94,41.94
242,3101526,55,66.29,20.26,44.18,20.26,66.29,54.94
243,3101766,55,39.63,73.17,81.22,73.17,39.63,64.13
244,3102006,55,75.36,2.77,31.94,2.77,75.36,9.09
245,3102246,55,48.88,35.39,54.77,35.39,48.88,35.09
246,3102486,55,38.57,78.75,85.12,78.75,38.57,1.86
247,3102726,55,80.51,-7.42,-35.20,-7.42,80.51,55.43
248,3102966,55,8.53,100.00,100.00,100.00,8.53,7.82
249,3103206,55,0.89,100.00,100.00,100.00,0.89,8.02
250,3103446,55,98.28,100.00,100.00,100.00,98.28,74.78
251,3103686,55,99.00,8.16,35.71,8.16,99.00,30.60
252,3103926,55,74.82,-17.53,-42.27,-17.53,74.82,28.15
253,3104166,55,11.37,100.00,100.00,100.00,11.37,33.33
254,3104406,55,1.24,100.00,100.00,100.00,1.24,34.31
255,3104646,55,98.11,83.99,88.79,83.99,98.11,10.46
256,3104886,55,86.55,23.53,46.47,23.53,86.55,20.53
257,3105126,55,59.90,32.22,52.56,32.22,59.90,59.53
258,3105366,55,35.90,91.35,93.94,91.35,35.90,51.32
259,3105606,55,91.71,-29.34,-50.53,-29.34,91.71,39.78
260,3105846,55,9.78,100.00,100.00,100.00,9.78,94.43
261,3106086,55,1.07,100.00,100.00,100.00,1.07,92.86
262,3106326,55,97.75,89.37,92.56,89.37,97.75,63.93
263,3106566,55,91.00,15.72,41.00,15.72,91.00,72.14
264,3106806,55,64.69,13.69,39.58,13.69,64.69,47.31
265,3107046,55,35.19,78.37,84.86,78.37,35.19,41.15
266,3107286,55,80.51,-10.26,-37.18,-10.26,80.51,97.07
267,3107526,55,8.53,100.00,100.00,100.00,8.53,47.90
268,3107766,55,0.89,100.00,100.00,100.00,0.89,47.80
269,3108006,55,98.28,100.00,100.00,100.00,98.28,25.22
270,3108246,55,99.00,5.33,33.73,5.33,99.00,59.14
271,3108486,55,74.47,-19.33,-43.53,-19.33,74.47,51.81
272,3108726,55,11.37,100.00,100.00,100.00,11.37,75.66
273,3108966,55,1.24,100.00,100.00,100.00,1.24,77.22
274,3109206,55,97.57,83.48,88.44,83.48,97.57,52.20
275,3109446,55,85.84,24.70,47.29,24.70,85.84,54.84
276,3109686,55,58.65,36.50,55.55,36.50,58.65,11.53
277,3109926,55,39.99,82.83,87.98,82.83,39.99,92.28
278,3110166,55,83.53,-11.10,-37.77,-11.10,83.53,54.55
279,3110406,55,8.89,100.00,100.00,100.00,8.89,9.87
280,3110646,55,1.07,100.00,100.00,100.00,1.07,9.87
281,3110886,55,98.28,100.00,100.00,100.00,98.28,86.41
282,3111126,55,99.88,2.93,32.05,2.93,99.88,27.76
283,3111366,55,73.94,-19.53,-43.67,-19.53,73.94,28.84
284,3111606,55,11.55,100.00,100.00,100.00,11.55,36.27
285,3111846,55,1.24,100.00,100.00,100.00,1.24,38.71
286,3112086,55,98.46,79.92,85.95,79.92,98.46,14.17
287,3112326,55,83.18,29.54,50.68,29.54,83.18,18.18
288,3112566,55,56.52,45.61,61.93,45.61,56.52,52.59
289,3112806,55,48.34,66.08,76.26,66.08,48.34,45.06
290,3113046,55,69.49,19.08,43.36,19.08,69.49,93.84
291,3113286,55,43.01,64.50,75.15,64.50,43.01,0.00
292,3113526,55,67.18,20.34,44.24,20.34,67.18,27.96
293,3113766,55,41.77,67.69,77.39,67.69,41.77,31.18
294,3114006,55,70.91,11.77,38.24,11.77,70.91,56.11
295,3114246,55,45.14,52.02,66.41,52.02,45.14,57.77
296,3114486,55,55.45,43.54,60.48,43.54,55.45,78.40
297,3114726,55,46.74,67.89,77.52,67.89,46.74,50.93
298,3114966,55,70.74,16.10,41.27,16.10,70.74,17.99
299,3115206,55,44.61,57.77,70.44,57.77,44.61,17.50
300,3115446,55,61.32,31.84,52.29,31.84,61.32,31.28
301,3115686,55,37.50,87.34,91.14,87.34,37.50,18.96
302,3115926,55,88.87,-23.90,-46.73,-23.90,88.87,85.92
303,3116166,55,9.42,100.00,100.00,100.00,9.42,53.47
304,3116406,55,1.07,100.00,100.00,100.00,1.07,52.98
