No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,952273,55,0.00,100.00,100.00,100.00,0.00,8.50
2,952353,55,67.72,-23.56,-46.49,-23.56,67.72,52.79
3,952433,55,33.06,40.66,58.46,40.66,33.06,6.55
4,952513,55,15.11,73.92,81.75,73.92,15.11,16.81
5,952593,55,52.61,4.43,33.10,4.43,52.61,51.71
6,952673,55,51.90,5.75,34.02,5.75,51.90,35.00
7,952753,55,40.34,27.16,49.01,27.16,40.34,93.94
8,952833,55,31.64,43.29,60.31,43.29,31.64,42.03
9,952913,55,38.57,30.45,51.31,30.45,38.57,94.92
10,952993,55,35.01,37.04,55.93,37.04,35.01,46.63
11,953073,55,35.19,36.71,55.69,36.71,35.19,95.60
12,953153,55,36.79,33.74,53.62,33.74,36.79,48.58
13,953233,55,33.59,39.67,57.77,39.67,33.59,0.00
14,953313,55,37.50,32.43,52.70,32.43,37.50,51.22
15,953393,55,33.95,39.01,57.31,39.01,33.95,0.68
16,953473,55,37.32,32.75,52.93,32.75,37.32,40.76
17,953553,55,33.59,39.67,57.77,39.67,33.59,3.32
18,953633,55,37.15,33.08,53.16,33.08,37.15,57.09
19,953713,55,33.95,39.01,57.31,39.01,33.95,6.45
20,953793,55,37.50,32.43,52.70,32.43,37.50,52.49
21,953873,55,33.95,39.01,57.31,39.01,33.95,8.60
22,953953,55,36.97,33.41,53.39,33.41,36.97,45.55
23,954033,55,34.12,38.68,57.08,38.68,34.12,10.65
24,954113,55,36.97,33.41,53.39,33.41,36.97,47.70
25,954193,55,34.12,38.68,57.08,38.68,34.12,14.08
26,954273,55,37.15,33.08,53.16,33.08,37.15,58.65
27,954353,55,33.95,39.01,57.31,39.01,33.95,17.01
28,954433,55,36.79,33.74,53.62,33.74,36.79,49.17
29,954513,55,34.48,38.02,56.62,38.02,34.48,19.16
30,954593,55,36.79,33.74,53.62,33.74,36.79,71.55
31,954673,55,34.48,38.02,56.62,38.02,34.48,20.04
32,954753,55,36.08,35.06,54.54,35.06,36.08,59.92
33,954833,55,35.01,37.04,55.93,37.04,35.01,23.56
34,954913,55,36.08,35.06,54.54,35.06,36.08,69.21
35,954993,55,35.37,36.38,55.46,36.38,35.37,26.20
36,955073,55,35.90,35.39,54.77,35.39,35.90,74.49
37,955153,55,35.37,36.38,55.46,36.38,35.37,28.05
38,955233,55,35.19,36.71,55.69,36.71,35.19,80.45
39,955313,55,36.43,34.40,54.08,34.40,36.43,31.28
40,955393,55,34.66,37.69,56.39,37.69,34.66,82.50
41,955473,55,36.97,33.41,53.39,33.41,36.97,33.92
42,955553,55,33.95,39.01,57.31,39.01,33.95,84.16
43,955633,55,36.97,33.41,53.39,33.41,36.97,35.78
44,955713,55,33.95,39.01,57.31,39.01,33.95,61.19
45,955793,55,37.68,32.10,52.47,32.10,37.68,38.42
46,955873,55,33.41,40.00,58.00,40.00,33.41,89.15
47,955953,55,38.03,31.44,52.01,31.44,38.03,32.75
48,956033,55,33.24,40.33,58.23,40.33,33.24,92.57
49,956113,55,38.03,31.44,52.01,31.44,38.03,43.21
50,956193,55,33.06,40.66,58.46,40.66,33.06,94.33
51,956273,55,38.39,30.78,51.55,30.78,38.39,35.97
52,956353,55,32.70,41.32,58.92,41.32,32.70,95.60
53,956433,55,38.03,31.44,52.01,31.44,38.03,37.15
54,956513,55,33.06,40.66,58.46,40.66,33.06,65.20
55,956593,55,38.39,30.78,51.55,30.78,38.39,50.64
56,956673,55,33.06,40.66,58.46,40.66,33.06,0.00
57,956753,55,38.21,31.11,51.78,31.11,38.21,53.47
58,956833,55,32.88,40.99,58.69,40.99,32.88,8.02
59,956913,55,37.68,32.10,52.47,32.10,37.68,56.50
60,956993,55,33.59,39.67,57.77,39.67,33.59,10.17
61,957073,55,37.50,32.43,52.70,32.43,37.50,48.88
62,957153,55,33.41,40.00,58.00,40.00,33.41,11.14
