No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
237,687432,55,55.63,53.55,67.48,53.55,55.63,50.93
238,687512,55,55.27,53.76,67.63,53.76,55.27,31.67
239,687592,55,54.21,54.82,68.37,54.82,54.21,0.00
240,687672,55,55.10,54.08,67.86,54.08,55.10,53.08
241,687752,55,55.81,53.30,67.31,53.30,55.81,34.41
242,687832,55,54.92,54.03,67.82,54.03,54.92,3.81
243,687912,55,54.56,54.43,68.10,54.43,54.56,75.66
244,687992,55,55.27,53.79,67.66,53.79,55.27,37.44
245,688072,55,55.45,53.53,67.47,53.53,55.45,9.38
246,688152,55,54.74,54.17,67.92,54.17,54.74,64.71
247,688232,55,54.74,54.23,67.96,54.23,54.74,45.36
248,688312,55,54.92,54.11,67.88,54.11,54.92,14.17
249,688392,55,55.63,53.38,67.37,53.38,55.63,62.76
250,688472,55,54.74,54.16,67.91,54.16,54.74,43.21
251,688552,55,54.56,54.41,68.09,54.41,54.56,19.84
252,688632,55,55.63,53.40,67.38,53.40,55.63,88.17
253,688712,55,55.27,53.61,67.53,53.61,55.27,57.58
254,688792,55,54.74,54.10,67.87,54.10,54.74,25.42
255,688872,55,54.39,54.55,68.18,54.55,54.39,85.63
256,688952,55,55.63,53.39,67.37,53.39,55.63,62.85
257,689032,55,54.74,54.17,67.92,54.17,54.74,30.01
258,689112,55,54.39,54.61,68.23,54.61,54.39,62.95
259,689192,55,55.45,53.65,67.55,53.65,55.45,62.85
260,689272,55,55.27,53.71,67.60,53.71,55.27,35.68
261,689352,55,54.21,54.77,68.34,54.77,54.21,12.12
262,689432,55,55.10,54.04,67.83,54.04,55.10,55.52
263,689512,55,55.45,53.64,67.55,53.64,55.45,38.32
264,689592,55,55.45,53.52,67.46,53.52,55.45,7.62
265,689672,55,54.39,54.53,68.17,54.53,54.39,57.38
266,689752,55,55.27,53.75,67.62,53.75,55.27,45.36
267,689832,55,55.45,53.49,67.44,53.49,55.45,13.10
268,689912,55,54.56,54.31,68.02,54.31,54.56,62.37
269,689992,55,54.92,54.05,67.83,54.05,54.92,50.54
270,690072,55,54.92,54.07,67.85,54.07,54.92,18.48
271,690152,55,55.10,53.90,67.73,53.90,55.10,64.91
272,690232,55,54.74,54.25,67.98,54.25,54.74,54.25
273,690312,55,54.92,54.14,67.89,54.14,54.92,24.83
274,690392,55,55.27,53.78,67.65,53.78,55.27,92.67
275,690472,55,55.27,53.71,67.60,53.71,55.27,49.07
276,690552,55,54.39,54.58,68.20,54.58,54.39,28.74
277,690632,55,54.56,54.55,68.19,54.55,54.56,93.65
278,690712,55,55.81,53.35,67.34,53.35,55.81,51.71
279,690792,55,55.10,53.89,67.72,53.89,55.10,32.36
280,690872,55,54.21,54.80,68.36,54.80,54.21,12.02
281,690952,55,55.81,53.32,67.32,53.32,55.81,54.64
282,691032,55,55.63,53.29,67.31,53.29,55.63,39.00
283,691112,55,53.85,55.01,68.51,55.01,53.85,6.65
284,691192,55,54.92,54.18,67.93,54.18,54.92,76.64
285,691272,55,55.63,53.45,67.42,53.45,55.63,44.77
286,691352,55,54.56,54.42,68.09,54.42,54.56,11.83
287,691432,55,55.27,53.78,67.64,53.78,55.27,75.56
288,691512,55,55.45,53.52,67.46,53.52,55.45,49.36
289,691592,55,54.74,54.15,67.91,54.15,54.74,16.32
290,691672,55,55.10,53.84,67.69,53.84,55.10,85.24
291,691752,55,54.74,54.19,67.94,54.19,54.74,44.87
292,691832,55,55.10,53.89,67.72,53.89,55.10,24.93
293,691912,55,55.10,53.86,67.70,53.86,55.10,91.30
294,691992,55,54.56,54.40,68.08,54.40,54.56,47.80
295,692072,55,54.74,54.33,68.03,54.33,54.74,26.30
296,692152,55,54.56,54.58,68.21,54.58,54.56,70.48
297,692232,55,55.99,53.19,67.23,53.19,55.99,57.18
298,692312,55,54.74,54.25,67.98,54.25,54.74,31.48
299,692392,55,54.21,54.88,68.42,54.88,54.21,11.63
300,692472,55,55.81,53.40,67.38,53.40,55.81,54.06
301,692552,55,55.27,53.75,67.62,53.75,55.27,37.54
302,692632,55,53.85,55.18,68.63,55.18,53.85,13.78
303,692712,55,55.63,53.60,67.52,53.60,55.63,74.49
304,692792,55,55.45,53.63,67.54,53.63,55.45,43.21
