No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,1390932,55,0.00,91.87,94.31,91.87,0.00,84.16
2,1391012,55,62.21,31.71,52.20,31.71,62.21,33.24
3,1391092,55,62.03,26.28,48.39,26.28,62.03,11.34
4,1391172,55,49.76,41.17,58.82,41.17,49.76,79.96
5,1391252,55,42.48,57.51,70.26,57.51,42.48,35.00
6,1391332,55,50.65,53.81,67.67,53.81,50.65,93.94
7,1391412,55,53.14,53.12,67.18,53.12,53.14,48.88
8,1391492,55,52.25,56.08,69.25,56.08,52.25,26.20
9,1391572,55,53.14,56.78,69.75,56.78,53.14,93.26
10,1391652,55,54.92,55.29,68.70,55.29,54.92,47.80
11,1391732,55,54.03,56.84,69.79,56.84,54.03,23.85
12,1391812,55,54.21,57.31,70.12,57.31,54.21,92.77
13,1391892,55,55.63,55.57,68.90,55.57,55.63,48.48
14,1391972,55,54.74,56.55,69.59,56.55,54.74,25.02
15,1392052,55,55.27,55.87,69.11,55.87,55.27,94.33
16,1392132,55,54.21,57.43,70.20,57.43,54.21,47.80
17,1392212,55,54.39,57.76,70.43,57.76,54.39,25.12
18,1392292,55,54.92,57.36,70.15,57.36,54.92,92.77
19,1392372,55,55.81,55.94,69.16,55.94,55.81,47.90
20,1392452,55,55.27,56.19,69.33,56.19,55.27,25.22
21,1392532,55,54.03,58.05,70.63,58.05,54.03,95.21
22,1392612,55,55.27,56.74,69.72,56.74,55.27,59.63
23,1392692,55,54.92,57.12,69.98,57.12,54.92,25.22
24,1392772,55,54.56,57.78,70.44,57.78,54.56,70.38
25,1392852,55,56.34,55.16,68.61,55.16,56.34,48.97
26,1392932,55,54.21,57.65,70.36,57.65,54.21,26.20
27,1393012,55,54.74,57.39,70.17,57.39,54.74,70.19
28,1393092,55,54.92,57.30,70.11,57.30,54.92,53.86
29,1393172,55,55.10,57.07,69.95,57.07,55.10,26.10
30,1393252,55,54.74,57.59,70.31,57.59,54.74,72.92
31,1393332,55,55.99,55.71,69.00,55.71,55.99,48.19
32,1393412,55,55.45,55.82,69.07,55.82,55.45,26.20
33,1393492,55,52.61,60.21,72.15,60.21,52.61,93.74
34,1393572,55,55.99,56.47,69.53,56.47,55.99,46.92
35,1393652,55,54.56,58.06,70.65,58.06,54.56,22.58
36,1393732,55,54.03,59.30,71.51,59.30,54.03,91.79
37,1393812,55,56.34,56.21,69.35,56.21,56.34,54.64
38,1393892,55,54.74,57.82,70.47,57.82,54.74,22.39
39,1393972,55,55.27,57.14,69.99,57.14,55.27,91.98
40,1394052,55,55.27,56.92,69.84,56.92,55.27,56.70
41,1394132,55,54.39,58.18,70.73,58.18,54.39,21.90
42,1394212,55,54.56,58.38,70.86,58.38,54.56,91.59
43,1394292,55,55.81,56.65,69.65,56.65,55.81,57.87
44,1394372,55,55.27,56.89,69.83,56.89,55.27,22.58
45,1394452,55,54.74,57.57,70.30,57.57,54.74,91.89
46,1394532,55,55.45,56.58,69.61,56.58,55.45,57.18
47,1394612,55,54.21,58.30,70.81,58.30,54.21,21.31
48,1394692,55,54.39,58.64,71.05,58.64,54.39,63.54
49,1394772,55,56.34,55.86,69.10,55.86,56.34,46.04
50,1394852,55,54.39,58.06,70.64,58.06,54.39,25.02
51,1394932,55,55.10,57.36,70.15,57.36,55.10,91.98
52,1395012,55,55.45,56.69,69.68,56.69,55.45,56.40
53,1395092,55,54.21,58.41,70.89,58.41,54.21,21.60
54,1395172,55,54.92,57.85,70.50,57.85,54.92,91.50
55,1395252,55,55.27,57.32,70.13,57.32,55.27,58.46
56,1395332,55,55.63,56.51,69.56,56.51,55.63,22.39
57,1395412,55,54.39,58.09,70.66,58.09,54.39,67.74
58,1395492,55,55.27,57.09,69.96,57.09,55.27,46.43
59,1395572,55,54.74,57.76,70.44,57.76,54.74,22.87
60,1395652,55,54.56,58.27,70.79,58.27,54.56,67.55
61,1395732,55,55.81,56.54,69.58,56.54,55.81,58.75
62,1395812,55,54.92,57.38,70.17,57.38,54.92,22.97
63,1395892,55,54.74,57.74,70.42,57.74,54.74,92.57
64,1395972,55,54.74,57.95,70.56,57.95,54.74,56.60
65,1396052,55,54.74,58.15,70.71,58.15,54.74,21.70
66,1396132,55,54.39,58.95,71.27,58.95,54.39,91.40
67,1396212,55,55.99,56.77,69.74,56.77,55.99,55.72
68,1396292,55,55.10,57.47,70.23,57.47,55.10,22.78
69,1396372,55,54.74,57.99,70.59,57.99,54.74,91.79
70,1396452,55,55.45,57.01,69.90,57.01,55.45,56.89
71,1396532,55,54.56,58.13,70.69,58.13,54.56,21.21
72,1396612,55,54.56,58.48,70.93,58.48,54.56,64.81
73,1396692,55,55.45,57.34,70.14,57.34,55.45,50.34
74,1396772,55,55.45,56.98,69.89,56.98,55.45,25.22
75,1396852,55,54.56,58.11,70.67,58.11,54.56,92.47
76,1396932,55,55.45,56.97,69.88,56.97,55.45,46.53
77,1397012,55,54.74,57.80,70.46,57.80,54.74,21.02
78,1397092,55,54.56,58.30,70.81,58.30,54.56,66.47
79,1397172,55,55.10,57.76,70.43,57.76,55.10,45.36
80,1397252,55,55.45,57.09,69.96,57.09,55.45,21.02
81,1397332,55,54.39,58.51,70.96,58.51,54.39,65.88
82,1397412,55,55.27,57.51,70.26,57.51,55.27,53.08
83,1397492,55,54.74,58.19,70.73,58.19,54.74,20.53
84,1397572,55,54.56,58.69,71.08,58.69,54.56,67.64
85,1397652,55,56.16,56.36,69.46,56.36,56.16,46.04
86,1397732,55,54.92,57.52,70.26,57.52,54.92,21.02
87,1397812,55,54.74,57.88,70.52,57.88,54.74,66.08
88,1397892,55,55.45,56.90,69.83,56.90,55.45,45.65
89,1397972,55,54.39,58.32,70.82,58.32,54.39,21.21
90,1398052,55,54.74,58.21,70.75,58.21,54.74,66.57
91,1398132,55,55.81,56.64,69.65,56.64,55.81,47.02
92,1398212,55,54.92,57.48,70.24,57.48,54.92,21.11
93,1398292,55,54.39,58.44,70.91,58.44,54.39,66.08
94,1398372,55,55.45,57.14,70.00,57.14,55.45,45.55
95,1398452,55,54.39,58.57,71.00,58.57,54.39,19.16
96,1398532,55,54.56,58.76,71.13,58.76,54.56,89.25
97,1398612,55,56.16,56.43,69.50,56.43,56.16,45.55
98,1398692,55,55.10,57.29,70.10,57.29,55.10,20.33
99,1398772,55,54.56,58.10,70.67,58.10,54.56,80.25
100,1398852,55,55.63,56.67,69.67,56.67,55.63,45.65
101,1398932,55,54.21,58.54,70.98,58.54,54.21,17.50
102,1399012,55,54.56,58.58,71.01,58.58,54.56,87.68
103,1399092,55,55.27,57.74,70.42,57.74,55.27,52.49
104,1399172,55,54.03,59.60,71.72,59.60,54.03,14.57
105,1399252,55,55.27,58.29,70.81,58.29,55.27,85.73
106,1399332,55,55.99,56.89,69.82,56.89,55.99,50.24
107,1399412,55,54.92,57.89,70.52,57.89,54.92,13.00
108,1399492,55,55.10,57.65,70.36,57.65,55.10,60.41
109,1399572,55,55.27,57.28,70.10,57.28,55.27,42.42
110,1399652,55,54.39,58.55,70.98,58.55,54.39,11.05
111,1399732,55,54.39,59.04,71.33,59.04,54.39,59.34
112,1399812,55,55.45,57.74,70.42,57.74,55.45,40.76
113,1399892,55,54.92,58.27,70.79,58.27,54.92,10.07
114,1399972,55,55.45,57.45,70.21,57.45,55.45,59.34
115,1400052,55,56.16,55.90,69.13,55.90,56.16,38.22
116,1400132,55,53.50,59.43,71.60,59.43,53.50,8.21
117,1400212,55,55.27,57.66,70.36,57.66,55.27,77.13
118,1400292,55,54.56,58.63,71.04,58.63,54.56,43.11
119,1400372,55,55.10,58.08,70.66,58.08,55.10,7.23
120,1400452,55,55.45,57.41,70.19,57.41,55.45,77.22
121,1400532,55,55.27,57.35,70.14,57.35,55.27,42.62
122,1400612,55,54.56,58.32,70.82,58.32,54.56,5.87
123,1400692,55,55.45,57.18,70.03,57.18,55.45,57.67
124,1400772,55,54.39,58.60,71.02,58.60,54.39,40.37
125,1400852,55,54.56,58.80,71.16,58.80,54.56,5.67
126,1400932,55,54.92,58.55,70.98,58.55,54.92,74.49
127,1401012,55,55.63,57.43,70.20,57.43,55.63,39.20
128,1401092,55,54.74,58.41,70.89,58.41,54.74,2.64
129,1401172,55,55.99,56.54,69.58,56.54,55.99,74.58
130,1401252,55,54.39,58.43,70.90,58.43,54.39,38.03
131,1401332,55,53.50,60.40,72.28,60.40,53.50,0.68
132,1401412,55,55.81,57.74,70.42,57.74,55.81,71.16
133,1401492,55,55.63,57.39,70.17,57.39,55.63,36.75
134,1401572,55,54.21,59.27,71.49,59.27,54.21,0.00
135,1401652,55,56.34,56.33,69.43,56.33,56.34,61.19
136,1401732,55,54.92,57.64,70.35,57.64,54.92,34.51
137,1401812,55,54.03,59.19,71.43,59.19,54.03,0.00
138,1401892,55,55.81,56.99,69.90,56.99,55.81,53.57
139,1401972,55,54.74,58.13,70.69,58.13,54.74,33.72
140,1402052,55,54.74,58.34,70.84,58.34,54.74,10.46
141,1402132,55,55.63,57.06,69.94,57.06,55.63,62.46
142,1402212,55,54.92,57.75,70.42,57.75,54.92,32.36
143,1402292,55,54.56,58.41,70.88,58.41,54.56,100.00
144,1402372,55,55.63,56.97,69.88,56.97,55.63,53.57
145,1402452,55,54.56,58.25,70.78,58.25,54.56,31.18
146,1402532,55,54.56,58.60,71.02,58.60,54.56,74.39
147,1402612,55,55.27,57.76,70.43,57.76,55.27,51.42
148,1402692,55,55.27,57.54,70.28,57.54,55.27,30.11
