No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,2165345,55,0.00,70.96,79.67,70.96,0.00,14.08
2,2165585,55,68.07,18.62,43.03,18.62,68.07,24.24
3,2165825,55,30.93,58.11,70.68,58.11,30.93,1.66
4,2166065,55,56.16,41.08,58.76,41.08,56.16,96.97
5,2166305,55,39.81,61.43,73.00,61.43,39.81,62.07
6,2166545,55,59.36,46.00,62.20,46.00,59.36,63.54
7,2166785,55,45.68,60.84,72.59,60.84,45.68,71.55
8,2167025,55,59.18,49.43,64.60,49.43,59.18,62.95
9,2167265,55,48.16,60.95,72.66,60.95,48.16,56.89
10,2167505,55,59.01,51.37,65.96,51.37,59.01,88.76
11,2167745,55,51.01,59.10,71.37,59.10,51.01,81.72
12,2167985,55,59.01,51.36,65.95,51.36,59.01,95.11
13,2168225,55,49.41,61.16,72.81,61.16,49.41,93.74
14,2168465,55,59.72,51.47,66.03,51.47,59.72,4.69
15,2168705,55,50.12,60.80,72.56,60.80,50.12,2.44
16,2168945,55,60.07,51.11,65.78,51.11,60.07,21.80
17,2169185,55,50.12,60.68,72.48,60.68,50.12,13.39
18,2169425,55,60.43,50.53,65.37,50.53,60.43,27.96
19,2169665,55,49.59,61.01,72.71,61.01,49.59,24.34
20,2169905,55,59.90,51.21,65.85,51.21,59.90,38.32
21,2170145,55,50.83,59.74,71.82,59.74,50.83,36.95
22,2170385,55,58.47,52.57,66.80,52.57,58.47,41.06
23,2170625,55,52.61,57.90,70.53,57.90,52.61,40.57
24,2170865,55,57.76,52.79,66.96,52.79,57.76,46.33
25,2171105,55,51.36,59.27,71.49,59.27,51.36,45.75
26,2171345,55,58.83,51.98,66.39,51.98,58.83,69.01
27,2171585,55,51.54,58.91,71.24,58.91,51.54,50.15
28,2171825,55,58.12,52.66,66.86,52.66,58.12,59.14
29,2172065,55,52.79,57.53,70.27,57.53,52.79,60.22
30,2172305,55,56.34,54.37,68.06,54.37,56.34,79.67
31,2172545,55,52.79,58.09,70.66,58.09,52.79,65.49
32,2172785,55,57.41,53.56,67.49,53.56,57.41,31.28
33,2173025,55,53.14,57.51,70.25,57.51,53.14,0.00
34,2173265,55,56.70,54.12,67.88,54.12,56.70,8.31
35,2173505,55,53.85,56.69,69.69,56.69,53.85,11.53
36,2173745,55,56.34,54.22,67.96,54.22,56.34,19.06
37,2173985,55,53.67,56.80,69.76,56.80,53.67,21.11
38,2174225,55,55.45,55.36,68.75,55.36,55.45,28.25
39,2174465,55,54.92,55.76,69.03,55.76,54.92,31.57
40,2174705,55,55.81,54.66,68.26,54.66,55.81,36.85
41,2174945,55,54.92,55.29,68.70,55.29,54.92,39.59
42,2175185,55,55.27,54.88,68.42,54.88,55.27,40.27
43,2175425,55,54.21,56.08,69.26,56.08,54.21,42.62
44,2175665,55,55.63,54.76,68.33,54.76,55.63,56.79
45,2175905,55,55.10,55.04,68.53,55.04,55.10,60.51
