No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
274,121035,55,54.39,52.44,66.71,52.44,54.39,44.77
275,121115,55,54.21,52.82,66.97,52.82,54.21,24.54
276,121195,55,55.81,52.08,66.45,52.08,55.81,91.89
277,121275,55,54.92,52.33,66.63,52.33,54.92,47.70
278,121355,55,54.74,52.49,66.74,52.49,54.74,26.49
279,121435,55,54.74,52.60,66.82,52.60,54.74,87.29
280,121515,55,55.27,52.35,66.64,52.35,55.27,50.15
281,121595,55,55.63,51.99,66.39,51.99,55.63,29.62
282,121675,55,54.39,52.56,66.80,52.56,54.39,69.60
283,121755,55,54.92,52.47,66.73,52.47,54.92,67.25
284,121835,55,55.10,52.38,66.67,52.38,55.10,33.92
285,121915,55,55.45,52.10,66.47,52.10,55.45,0.59
286,121995,55,54.92,52.27,66.59,52.27,54.92,55.03
287,122075,55,54.39,52.66,66.86,52.66,54.39,34.21
288,122155,55,55.81,51.96,66.37,51.96,55.81,14.57
289,122235,55,55.81,51.62,66.13,51.62,55.81,68.82
290,122315,55,54.03,52.48,66.73,52.48,54.03,41.64
291,122395,55,54.74,52.41,66.69,52.41,54.74,13.29
292,122475,55,55.10,52.28,66.60,52.28,55.10,59.82
293,122555,55,55.45,52.00,66.40,52.00,55.45,45.36
294,122635,55,54.74,52.29,66.60,52.29,54.74,11.05
295,122715,55,54.56,52.52,66.76,52.52,54.56,61.78
296,122795,55,55.10,52.34,66.64,52.34,55.10,43.79
297,122875,55,55.10,52.30,66.61,52.30,55.10,15.74
298,122955,55,55.27,52.14,66.50,52.14,55.27,65.10
299,123035,55,54.56,52.50,66.75,52.50,54.56,43.89
300,123115,55,54.92,52.45,66.71,52.45,54.92,19.35
301,123195,55,55.81,51.88,66.32,51.88,55.81,88.07
302,123275,55,54.92,52.14,66.50,52.14,54.92,46.53
303,123355,55,54.03,52.78,66.94,52.78,54.03,25.42
304,123435,55,55.27,52.35,66.64,52.35,55.27,93.26
305,123515,55,55.63,51.99,66.39,51.99,55.63,49.95
306,123595,55,54.74,52.32,66.63,52.32,54.74,27.47
307,123675,55,54.56,52.55,66.79,52.55,54.56,96.77
