No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
173,534366,55,68.07,36.08,55.25,36.08,68.07,86.22
174,534606,55,43.72,61.99,73.39,61.99,43.72,69.79
175,534846,55,64.52,39.88,57.92,39.88,64.52,16.72
176,535086,55,44.43,63.14,74.20,63.14,44.43,13.98
177,535326,55,66.47,37.96,56.57,37.96,66.47,39.20
178,535566,55,43.19,64.14,74.90,64.14,43.19,42.91
179,535806,55,67.54,36.47,55.53,36.47,67.54,56.01
180,536046,55,42.83,63.76,74.63,63.76,42.83,52.98
181,536286,55,66.47,37.82,56.48,37.82,66.47,73.70
182,536526,55,43.54,63.46,74.42,63.46,43.54,8.21
183,536766,55,65.94,38.81,57.17,38.81,65.94,28.15
184,537006,55,43.90,63.56,74.49,63.56,43.90,25.61
185,537246,55,67.00,37.14,56.00,37.14,67.00,52.00
186,537486,55,42.30,65.16,75.61,65.16,42.30,41.94
187,537726,55,68.78,34.88,54.42,34.88,68.78,65.40
188,537966,55,43.72,61.07,72.75,61.07,43.72,86.22
189,538206,55,63.45,40.85,58.59,40.85,63.45,6.55
190,538446,55,44.61,63.39,74.38,63.39,44.61,3.81
191,538686,55,66.47,38.35,56.84,38.35,66.47,31.38
192,538926,55,43.37,64.20,74.94,64.20,43.37,29.72
193,539166,55,67.36,36.91,55.84,36.91,67.36,51.61
194,539406,55,42.83,64.12,74.89,64.12,42.83,46.92
195,539646,55,66.83,37.56,56.29,37.56,66.83,70.09
196,539886,55,43.37,63.64,74.55,63.64,43.37,91.79
197,540126,55,66.47,37.94,56.56,37.94,66.47,14.86
198,540366,55,43.54,63.54,74.48,63.54,43.54,17.60
199,540606,55,66.83,37.29,56.10,37.29,66.83,41.06
200,540846,55,43.01,63.97,74.78,63.97,43.01,44.87
201,541086,55,67.36,36.53,55.57,36.53,67.36,74.19
202,541326,55,42.66,64.09,74.86,64.09,42.66,75.66
203,541566,55,66.83,37.46,56.22,37.46,66.83,0.88
204,541806,55,43.19,63.87,74.71,63.87,43.19,3.03
205,542046,55,66.12,38.75,57.12,38.75,66.12,30.69
206,542286,55,44.43,62.62,73.84,62.62,44.43,30.79
207,542526,55,65.58,38.96,57.27,38.96,65.58,53.67
208,542766,55,44.61,62.25,73.57,62.25,44.61,51.32
209,543006,55,65.76,38.36,56.85,38.36,65.76,85.83
210,543246,55,43.54,63.63,74.54,63.63,43.54,75.07
211,543486,55,66.29,38.38,56.87,38.38,66.29,20.33
212,543726,55,43.90,63.26,74.28,63.26,43.90,10.95
213,543966,55,66.29,38.11,56.68,38.11,66.29,38.03
214,544206,55,43.90,62.97,74.08,62.97,43.90,39.20
215,544446,55,66.47,37.50,56.25,37.50,66.47,56.01
216,544686,55,42.66,64.68,75.27,64.68,42.66,55.91
217,544926,55,67.36,37.13,55.99,37.13,67.36,94.43
218,545166,55,43.72,62.78,73.95,62.78,43.72,70.67
219,545406,55,65.40,39.11,57.38,39.11,65.40,27.17
220,545646,55,44.08,63.33,74.33,63.33,44.08,22.87
221,545886,55,66.65,37.66,56.36,37.66,66.65,45.06
222,546126,55,43.19,63.92,74.75,63.92,43.19,40.27
223,546366,55,66.83,37.53,56.27,37.53,66.83,76.34
224,546606,55,43.37,63.59,74.51,63.59,43.37,78.20
225,546846,55,66.29,38.21,56.75,38.21,66.29,16.42
226,547086,55,43.90,63.10,74.17,63.10,43.90,7.62
227,547326,55,65.58,39.24,57.47,39.24,65.58,33.72
228,547566,55,44.79,62.23,73.56,62.23,44.79,33.82
229,547806,55,66.12,37.77,56.44,37.77,66.12,49.76
230,548046,55,42.83,64.44,75.11,64.44,42.83,51.91
231,548286,55,67.36,36.98,55.89,36.98,67.36,84.56
232,548526,55,44.08,61.98,73.38,61.98,44.08,90.52
233,548766,55,64.52,40.04,58.03,40.04,64.52,12.22
234,549006,55,44.61,62.96,74.07,62.96,44.61,16.42
235,549246,55,66.83,37.21,56.04,37.21,66.83,38.32
236,549486,55,43.01,63.83,74.68,63.83,43.01,36.07
237,549726,55,67.00,37.04,55.93,37.04,67.00,62.76
238,549966,55,42.83,64.14,74.90,64.14,42.83,64.13
239,550206,55,66.83,37.59,56.31,37.59,66.83,88.07
240,550446,55,43.37,63.67,74.57,63.67,43.37,91.10
241,550686,55,66.29,38.30,56.81,38.30,66.29,25.61
242,550926,55,43.90,63.19,74.23,63.19,43.90,26.00
243,551166,55,66.29,38.04,56.63,38.04,66.29,51.22
244,551406,55,43.54,63.54,74.48,63.54,43.54,52.59
245,551646,55,66.83,37.30,56.11,37.30,66.83,80.25
246,551886,55,42.83,64.30,75.01,64.30,42.83,59.43
247,552126,55,67.18,37.12,55.99,37.12,67.18,6.94
248,552366,55,43.01,63.98,74.79,63.98,43.01,15.25
249,552606,55,67.00,37.17,56.02,37.17,67.00,37.73
250,552846,55,43.72,62.66,73.86,62.66,43.72,41.74
251,553086,55,65.58,38.69,57.08,38.69,65.58,67.35
252,553326,55,43.54,63.94,74.76,63.94,43.54,50.05
253,553566,55,67.54,36.45,55.52,36.45,67.54,72.34
254,553806,55,43.72,62.11,73.48,62.11,43.72,90.22
255,554046,55,64.87,39.40,57.58,39.40,64.87,25.51
256,554286,55,44.25,63.11,74.17,63.11,44.25,21.31
257,554526,55,66.12,38.49,56.94,38.49,66.12,43.01
258,554766,55,44.79,61.66,73.16,61.66,44.79,40.57
259,555006,55,65.23,38.77,57.14,38.77,65.23,59.04
260,555246,55,43.19,64.48,75.13,64.48,43.19,53.76
261,555486,55,67.54,36.88,55.81,36.88,67.54,13.49
262,555726,55,43.90,62.24,73.57,62.24,43.90,8.70
263,555966,55,64.69,39.90,57.93,39.90,64.69,31.77
264,556206,55,44.97,62.25,73.58,62.25,44.97,27.86
265,556446,55,65.58,38.87,57.21,38.87,65.58,48.19
266,556686,55,43.72,63.73,74.61,63.73,43.72,51.61
267,556926,55,67.18,36.95,55.86,36.95,67.18,83.77
268,557166,55,43.19,63.43,74.40,63.43,43.19,85.73
269,557406,55,66.29,37.97,56.58,37.97,66.29,11.34
270,557646,55,43.90,62.87,74.01,62.87,43.90,16.62
271,557886,55,65.58,39.01,57.30,39.01,65.58,37.54
272,558126,55,44.79,62.00,73.40,62.00,44.79,33.92
273,558366,55,66.12,37.54,56.28,37.54,66.12,52.88
274,558606,55,42.66,64.53,75.17,64.53,42.66,61.09
275,558846,55,67.18,37.33,56.13,37.33,67.18,70.38
276,559086,55,43.54,63.23,74.26,63.23,43.54,68.72
277,559326,55,65.76,38.86,57.20,38.86,65.76,16.42
278,559566,55,44.43,62.59,73.81,62.59,44.43,20.53
279,559806,55,66.12,37.98,56.59,37.98,66.12,40.57
280,560046,55,43.37,63.71,74.60,63.71,43.37,36.07
281,560286,55,66.65,37.73,56.41,37.73,66.65,57.87
282,560526,55,43.19,64.04,74.83,64.04,43.19,53.67
283,560766,55,66.47,38.29,56.80,38.29,66.47,13.59
284,561006,55,43.90,63.26,74.28,63.26,43.90,7.33
285,561246,55,65.94,38.74,57.12,38.74,65.94,29.23
286,561486,55,44.43,62.51,73.75,62.51,44.43,31.48
287,561726,55,66.12,37.89,56.52,37.89,66.12,47.80
288,561966,55,43.19,63.94,74.76,63.94,43.19,43.40
289,562206,55,67.00,37.26,56.08,37.26,67.00,66.18
290,562446,55,43.72,62.74,73.92,62.74,43.72,87.68
291,562686,55,65.23,39.41,57.59,39.41,65.23,14.27
292,562926,55,44.43,62.93,74.05,62.93,44.43,12.41
293,563166,55,66.29,38.04,56.63,38.04,66.29,36.95
294,563406,55,43.19,64.15,74.91,64.15,43.19,32.36
295,563646,55,67.54,36.49,55.54,36.49,67.54,54.55
296,563886,55,42.83,63.78,74.65,63.78,42.83,55.43
297,564126,55,67.00,36.88,55.82,36.88,67.00,88.66
298,564366,55,42.83,63.99,74.79,63.99,42.83,69.40
299,564606,55,66.47,38.09,56.66,38.09,66.47,28.05
300,564846,55,43.90,63.08,74.15,63.08,43.90,26.59
301,565086,55,65.94,38.56,56.99,38.56,65.94,46.43
