No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,24566,55,0.00,13.75,39.63,13.75,0.00,41.54
2,24646,55,0.00,13.75,39.63,13.75,0.00,41.45
3,24726,55,2.67,13.08,39.16,13.08,2.67,36.36
4,24806,55,7.11,11.97,38.38,11.97,7.11,78.79
5,24886,55,8.00,11.75,38.23,11.75,8.00,8.60
6,24966,55,9.06,11.48,38.04,11.48,9.06,40.27
7,25046,55,9.42,11.40,37.98,11.40,9.42,70.77
8,25126,55,8.71,11.57,38.10,11.57,8.71,98.63
9,25206,55,8.35,11.66,38.16,11.66,8.35,25.32
10,25286,55,9.42,11.40,37.98,11.40,9.42,37.54
11,25366,55,8.89,11.53,38.07,11.53,8.89,78.30
12,25446,55,8.53,11.62,38.13,11.62,8.53,9.78
13,25526,55,9.24,11.44,38.01,11.44,9.24,35.48
14,25606,55,9.42,11.40,37.98,11.40,9.42,58.16
15,25686,55,8.89,11.53,38.07,11.53,8.89,98.34
16,25766,55,8.53,11.62,38.13,11.62,8.53,24.24
17,25846,55,9.60,11.35,37.95,11.35,9.60,54.94
18,25926,55,8.53,11.62,38.13,11.62,8.53,56.11
19,26006,55,8.53,11.62,38.13,11.62,8.53,9.29
20,26086,55,9.42,11.40,37.98,11.40,9.42,34.02
21,26166,55,9.60,11.35,37.95,11.35,9.60,64.61
22,26246,55,8.53,11.62,38.13,11.62,8.53,94.23
23,26326,55,8.18,11.71,38.19,11.71,8.18,23.85
24,26406,55,9.78,11.31,37.91,11.31,9.78,55.03
25,26486,55,9.42,11.40,37.98,11.40,9.42,85.14
26,26566,55,8.89,11.53,38.07,11.53,8.89,10.07
27,26646,55,9.06,11.48,38.04,11.48,9.06,40.86
28,26726,55,9.60,11.35,37.95,11.35,9.60,58.46
29,26806,55,8.71,11.57,38.10,11.57,8.71,99.71
30,26886,55,8.35,11.66,38.16,11.66,8.35,24.34
31,26966,55,9.60,11.35,37.95,11.35,9.60,54.06
32,27046,55,8.53,11.62,38.13,11.62,8.53,85.63
33,27126,55,8.35,11.66,38.16,11.66,8.35,9.19
34,27206,55,9.06,11.48,38.04,11.48,9.06,33.04
35,27286,55,9.78,11.31,37.91,11.31,9.78,45.55
36,27366,55,8.35,11.66,38.16,11.66,8.35,99.51
37,27446,55,8.53,11.62,38.13,11.62,8.53,19.16
38,27526,55,9.78,11.31,37.91,11.31,9.78,37.34
39,27606,55,9.24,11.44,38.01,11.44,9.24,85.43
40,27686,55,8.71,11.57,38.10,11.57,8.71,8.21
41,27766,55,9.24,11.44,38.01,11.44,9.24,39.20
42,27846,55,9.60,11.35,37.95,11.35,9.60,69.11
43,27926,55,9.24,11.44,38.01,11.44,9.24,99.02
44,28006,55,9.06,11.48,38.04,11.48,9.06,24.44
45,28086,55,9.78,11.31,37.91,11.31,9.78,39.30
46,28166,55,8.89,11.53,38.07,11.53,8.89,56.21
47,28246,55,8.53,11.62,38.13,11.62,8.53,11.34
48,28326,55,9.60,11.35,37.95,11.35,9.60,42.03
49,28406,55,9.95,11.26,37.88,11.26,9.95,47.31
50,28486,55,9.42,11.40,37.98,11.40,9.42,0.29
51,28566,55,8.71,11.57,38.10,11.57,8.71,27.76
52,28646,55,9.95,11.26,37.88,11.26,9.95,42.52
53,28726,55,9.42,11.40,37.98,11.40,9.42,89.74
54,28806,55,9.06,11.48,38.04,11.48,9.06,14.27
55,28886,55,9.95,11.26,37.88,11.26,9.95,45.26
56,28966,55,9.60,11.35,37.95,11.35,9.60,74.19
57,29046,55,9.06,11.48,38.04,11.48,9.06,3.32
58,29126,55,9.24,11.44,38.01,11.44,9.24,31.96
59,29206,55,10.31,11.17,37.82,11.17,10.31,63.25
60,29286,55,9.24,11.44,38.01,11.44,9.24,92.77
61,29366,55,8.71,11.57,38.10,11.57,8.71,13.29
62,29446,55,9.60,11.35,37.95,11.35,9.60,49.07
63,29526,55,9.60,11.35,37.95,11.35,9.60,52.88
64,29606,55,9.42,11.40,37.98,11.40,9.42,5.47
65,29686,55,9.60,11.35,37.95,11.35,9.60,24.54
66,29766,55,10.31,11.17,37.82,11.17,10.31,43.99
67,29846,55,9.60,11.35,37.95,11.35,9.60,97.07
68,29926,55,8.89,11.53,38.07,11.53,8.89,22.19
69,30006,55,9.95,11.26,37.88,11.26,9.95,53.37
70,30086,55,9.60,11.35,37.95,11.35,9.60,82.70
71,30166,55,9.24,11.44,38.01,11.44,9.24,9.68
72,30246,55,9.95,11.26,37.88,11.26,9.95,40.57
73,30326,55,9.95,11.26,37.88,11.26,9.95,47.51
74,30406,55,9.24,11.44,38.01,11.44,9.24,0.00
75,30486,55,8.71,11.57,38.10,11.57,8.71,26.78
76,30566,55,10.49,11.13,37.79,11.13,10.49,56.01
77,30646,55,9.78,11.31,37.91,11.31,9.78,83.38
78,30726,55,8.89,11.53,38.07,11.53,8.89,13.49
79,30806,55,9.60,11.35,37.95,11.35,9.60,44.18
80,30886,55,9.60,11.35,37.95,11.35,9.60,69.50
81,30966,55,9.42,11.40,37.98,11.40,9.42,2.93
82,31046,55,9.78,11.31,37.91,11.31,9.78,31.67
83,31126,55,10.49,11.13,37.79,11.13,10.49,62.85
84,31206,55,9.24,11.44,38.01,11.44,9.24,92.96
85,31286,55,8.89,11.53,38.07,11.53,8.89,18.67
86,31366,55,10.13,11.22,37.85,11.22,10.13,49.36
87,31446,55,9.78,11.31,37.91,11.31,9.78,81.62
88,31526,55,9.06,11.48,38.04,11.48,9.06,6.06
89,31606,55,9.24,11.44,38.01,11.44,9.24,30.11
90,31686,55,10.13,11.22,37.85,11.22,10.13,42.72
91,31766,55,9.06,11.48,38.04,11.48,9.06,96.48
92,31846,55,9.06,11.48,38.04,11.48,9.06,22.58
93,31926,55,10.31,11.17,37.82,11.17,10.31,53.57
94,32006,55,9.95,11.26,37.88,11.26,9.95,81.92
95,32086,55,9.24,11.44,38.01,11.44,9.24,9.78
96,32166,55,9.95,11.26,37.88,11.26,9.95,40.57
97,32246,55,9.95,11.26,37.88,11.26,9.95,71.95
98,32326,55,9.24,11.44,38.01,11.44,9.24,0.98
99,32406,55,9.60,11.35,37.95,11.35,9.60,27.08
100,32486,55,10.84,11.04,37.73,11.04,10.84,39.10
101,32566,55,9.60,11.35,37.95,11.35,9.60,89.15
102,32646,55,8.71,11.57,38.10,11.57,8.71,14.86
103,32726,55,9.95,11.26,37.88,11.26,9.95,42.23
104,32806,55,9.78,11.31,37.91,11.31,9.78,76.93
105,32886,55,9.95,11.26,37.88,11.26,9.95,2.93
106,32966,55,9.78,11.31,37.91,11.31,9.78,22.09
107,33046,55,10.31,11.17,37.82,11.17,10.31,41.15
108,33126,55,9.42,11.40,37.98,11.40,9.42,91.40
109,33206,55,9.06,11.48,38.04,11.48,9.06,15.15
110,33286,55,10.31,11.17,37.82,11.17,10.31,51.22
111,33366,55,9.78,11.31,37.91,11.31,9.78,52.79
