No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,150683,55,0.00,50.88,65.61,50.88,0.00,77.52
2,150763,55,35.37,36.03,55.22,36.03,35.37,14.08
3,150843,55,38.92,48.75,64.13,48.75,38.92,49.85
4,150923,55,47.10,49.85,64.89,49.85,47.10,25.90
5,151003,55,51.19,51.45,66.01,51.45,51.19,92.77
6,151083,55,52.61,52.76,66.93,52.76,52.61,49.56
7,151163,55,54.39,52.56,66.79,52.56,54.39,26.59
8,151243,55,55.63,52.03,66.42,52.03,55.63,71.85
9,151323,55,54.74,52.75,66.93,52.75,54.74,50.73
10,151403,55,54.39,53.05,67.14,53.05,54.39,26.69
11,151483,55,55.27,52.48,66.73,52.48,55.27,97.75
12,151563,55,55.45,52.33,66.63,52.33,55.45,64.61
13,151643,55,54.74,52.79,66.95,52.79,54.74,31.09
14,151723,55,54.74,52.80,66.96,52.80,54.74,12.61
15,151803,55,55.63,52.11,66.47,52.11,55.63,55.91
16,151883,55,55.27,52.27,66.59,52.27,55.27,36.27
17,151963,55,54.92,52.40,66.68,52.40,54.92,14.37
18,152043,55,54.56,52.71,66.90,52.71,54.56,58.65
19,152123,55,54.92,52.54,66.78,52.54,54.92,36.27
20,152203,55,55.45,52.15,66.50,52.15,55.45,17.79
21,152283,55,54.92,52.51,66.76,52.51,54.92,58.85
22,152363,55,54.39,52.95,67.06,52.95,54.39,38.03
23,152443,55,55.10,52.51,66.75,52.51,55.10,18.08
24,152523,55,55.45,52.25,66.58,52.25,55.45,64.32
25,152603,55,54.74,52.75,66.92,52.75,54.74,47.51
26,152683,55,55.10,52.42,66.70,52.42,55.10,21.41
27,152763,55,54.92,52.60,66.82,52.60,54.92,83.87
28,152843,55,55.45,52.12,66.48,52.12,55.45,43.50
29,152923,55,54.92,52.48,66.74,52.48,54.92,22.58
30,153003,55,54.92,52.43,66.70,52.43,54.92,88.47
31,153083,55,54.21,53.12,67.19,53.12,54.21,47.21
32,153163,55,55.27,52.41,66.69,52.41,55.27,23.07
33,153243,55,55.45,52.30,66.61,52.30,55.45,90.03
34,153323,55,54.74,52.76,66.93,52.76,54.74,50.15
35,153403,55,54.39,53.09,67.16,53.09,54.39,26.78
36,153483,55,55.45,52.35,66.65,52.35,55.45,95.50
37,153563,55,55.63,52.15,66.50,52.15,55.63,50.83
38,153643,55,54.56,52.85,66.99,52.85,54.56,27.57
39,153723,55,55.10,52.39,66.67,52.39,55.10,74.19
40,153803,55,55.27,52.27,66.59,52.27,55.27,54.45
41,153883,55,54.92,52.49,66.74,52.49,54.92,32.26
42,153963,55,54.74,52.63,66.84,52.63,54.74,12.71
43,154043,55,54.92,52.57,66.80,52.57,54.92,54.94
44,154123,55,54.56,52.97,67.08,52.97,54.56,35.48
45,154203,55,55.81,51.97,66.38,51.97,55.81,13.69
46,154283,55,54.74,52.77,66.94,52.77,54.74,56.50
47,154363,55,54.39,53.05,67.13,53.05,54.39,40.57
48,154443,55,55.63,52.14,66.50,52.14,55.63,17.11
49,154523,55,55.63,52.04,66.43,52.04,55.63,78.40
50,154603,55,54.56,52.72,66.90,52.72,54.56,41.84
51,154683,55,54.56,52.75,66.92,52.75,54.56,18.48
52,154763,55,55.63,51.98,66.39,51.98,55.63,62.56
53,154843,55,55.27,52.18,66.53,52.18,55.27,41.45
54,154923,55,54.74,52.47,66.73,52.47,54.74,14.57
55,155003,55,54.39,52.84,66.99,52.84,54.39,65.49
56,155083,55,55.10,52.43,66.70,52.43,55.10,45.65
57,155163,55,55.63,52.01,66.41,52.01,55.63,23.66
58,155243,55,54.74,52.61,66.83,52.61,54.74,84.46
59,155323,55,54.56,52.75,66.92,52.75,54.56,46.63
60,155403,55,55.27,52.28,66.59,52.28,55.27,26.10
61,155483,55,55.45,52.10,66.47,52.10,55.45,70.97
62,155563,55,54.74,52.56,66.79,52.56,54.74,48.88
63,155643,55,54.56,52.73,66.91,52.73,54.56,28.64
64,155723,55,55.27,52.26,66.58,52.26,55.27,93.84
