No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,305006,55,0.00,83.96,88.77,83.96,0.00,37.93
2,305246,55,85.13,24.21,46.95,24.21,85.13,83.48
3,305486,55,58.47,26.44,48.51,26.44,58.47,31.48
4,305726,55,31.64,62.98,74.08,62.98,31.64,5.38
5,305966,55,65.23,41.52,59.07,41.52,65.23,23.56
6,306206,55,45.50,58.58,71.01,58.58,45.50,15.74
7,306446,55,60.78,47.38,63.17,47.38,60.78,32.16
8,306686,55,50.48,55.73,69.01,55.73,50.48,28.74
9,306926,55,59.01,48.49,63.94,48.49,59.01,40.18
10,307166,55,51.36,55.04,68.53,55.04,51.36,35.29
11,307406,55,57.41,50.45,65.32,50.45,57.41,42.72
12,307646,55,53.67,53.08,67.16,53.08,53.67,46.92
13,307886,55,56.87,49.89,64.92,49.89,56.87,49.66
14,308126,55,52.96,53.46,67.43,53.46,52.96,56.79
15,308366,55,56.70,50.37,65.26,50.37,56.70,53.08
16,308606,55,53.67,52.81,66.97,52.81,53.67,71.36
17,308846,55,56.52,50.16,65.12,50.16,56.52,76.74
18,309086,55,53.32,53.11,67.18,53.11,53.32,79.86
19,309326,55,56.70,50.10,65.07,50.10,56.70,86.02
20,309566,55,53.14,53.36,67.35,53.36,53.14,88.27
21,309806,55,56.52,50.58,65.41,50.58,56.52,93.74
22,310046,55,53.85,52.71,66.90,52.71,53.85,97.56
23,310286,55,56.34,50.38,65.26,50.38,56.34,1.66
24,310526,55,52.96,53.82,67.68,53.82,52.96,4.01
25,310766,55,56.87,50.45,65.32,50.45,56.87,12.12
26,311006,55,53.67,52.94,67.06,52.94,53.67,20.14
27,311246,55,56.16,50.84,65.59,50.84,56.16,25.32
28,311486,55,54.03,52.61,66.83,52.61,54.03,26.49
29,311726,55,55.45,51.68,66.17,51.68,55.45,31.09
30,311966,55,54.21,53.00,67.10,53.00,54.21,33.72
31,312206,55,55.45,52.11,66.48,52.11,55.45,38.12
32,312446,55,55.27,51.81,66.26,51.81,55.27,45.65
33,312686,55,55.27,51.46,66.02,51.46,55.27,56.11
34,312926,55,55.10,51.38,65.96,51.38,55.10,48.58
35,313166,55,54.74,51.80,66.26,51.80,54.74,50.83
36,313406,55,54.92,51.86,66.30,51.86,54.92,54.35
37,313646,55,55.27,51.42,65.99,51.42,55.27,55.91
38,313886,55,55.10,51.34,65.94,51.34,55.10,59.53
39,314126,55,54.56,52.03,66.42,52.03,54.56,83.68
40,314366,55,54.92,52.04,66.43,52.04,54.92,65.98
41,314606,55,55.10,51.88,66.31,51.88,55.10,70.09
42,314846,55,55.27,51.48,66.04,51.48,55.27,91.50
43,315086,55,55.10,51.40,65.98,51.40,55.10,3.62
44,315326,55,54.92,51.55,66.09,51.55,54.92,7.82
45,315566,55,54.21,52.74,66.92,52.74,54.21,16.13
46,315806,55,55.45,51.85,66.30,51.85,55.45,21.02
47,316046,55,54.74,52.36,66.65,52.36,54.74,20.23
48,316286,55,55.27,51.88,66.32,51.88,55.27,28.25
49,316526,55,55.45,51.26,65.88,51.26,55.45,30.99
50,316766,55,54.03,52.85,67.00,52.85,54.03,34.90
51,317006,55,55.45,51.92,66.34,51.92,55.45,37.83
52,317246,55,54.56,52.70,66.89,52.70,54.56,41.74
53,317486,55,55.63,51.63,66.14,51.63,55.63,53.47
54,317726,55,55.27,51.37,65.96,51.37,55.27,49.66
55,317966,55,54.39,52.37,66.66,52.37,54.39,61.58
56,318206,55,55.27,51.80,66.26,51.80,55.27,63.34
57,318446,55,54.74,52.27,66.59,52.27,54.74,55.91
58,318686,55,55.63,51.24,65.87,51.24,55.63,59.43
59,318926,55,55.27,50.98,65.68,50.98,55.27,81.33
60,319166,55,54.03,52.53,66.77,52.53,54.03,84.07
61,319406,55,55.63,51.32,65.93,51.32,55.63,78.01
62,319646,55,54.56,52.15,66.50,52.15,54.56,70.38
63,319886,55,55.99,50.54,65.37,50.54,55.99,91.98
64,320126,55,53.50,53.08,67.15,53.08,53.50,10.26
65,320366,55,56.16,50.93,65.65,50.93,56.16,15.25
66,320606,55,54.03,52.70,66.89,52.70,54.03,9.48
67,320846,55,55.81,51.22,65.86,51.22,55.81,17.01
68,321086,55,54.74,51.82,66.27,51.82,54.74,20.72
69,321326,55,55.10,51.61,66.13,51.61,55.10,25.32
70,321566,55,54.74,52.03,66.42,52.03,54.74,31.18
71,321806,55,54.74,52.36,66.65,52.36,54.74,32.55
72,322046,55,55.10,52.15,66.50,52.15,55.10,37.93
73,322286,55,54.92,52.29,66.61,52.29,54.92,44.09
74,322526,55,55.81,51.04,65.73,51.04,55.81,43.70
75,322766,55,54.56,51.91,66.34,51.91,54.56,47.41
76,323006,55,55.27,51.38,65.97,51.38,55.27,49.66
77,323246,55,54.56,52.12,66.48,52.12,54.56,51.42
78,323486,55,55.45,51.32,65.92,51.32,55.45,64.13
79,323726,55,55.10,51.28,65.90,51.28,55.10,77.42
80,323966,55,54.92,51.43,66.00,51.43,54.92,61.97
81,324206,55,54.56,52.08,66.46,52.08,54.56,64.32
82,324446,55,55.45,51.28,65.90,51.28,55.45,90.81
83,324686,55,54.74,51.79,66.25,51.79,54.74,95.31
84,324926,55,55.45,51.03,65.72,51.03,55.45,98.24
85,325166,55,53.67,53.17,67.22,53.17,53.67,4.99
86,325406,55,55.81,51.61,66.12,51.61,55.81,15.54
87,325646,55,54.39,52.75,66.92,52.75,54.39,17.89
88,325886,55,55.63,51.63,66.14,51.63,55.63,22.68
89,326126,55,55.10,51.64,66.15,51.64,55.10,25.81
